scenario,symptoms,age_group,gender_bias,urgency,risk_score,time_sensitive,mortality_risk
acute_myocardial_infarction,"['chest_pain', 'difficulty_breathing', 'sweating', 'nausea', 'left_arm_pain']",adult_senior,male_higher,critical,95,True,high
cardiac_arrest,"['unconsciousness', 'no_pulse', 'no_breathing']",any,none,critical,100,True,very_high
ischemic_stroke,"['sudden_weakness', 'speech_difficulty', 'facial_drooping', 'confusion']",senior_elderly,slight_male,critical,98,True,high
hemorrhagic_stroke,"['severe_headache', 'vomiting', 'neck_stiffness', 'loss_of_consciousness']",adult_senior,slight_female,critical,99,True,very_high
severe_asthma_attack,"['severe_difficulty_breathing', 'wheezing', 'blue_lips', 'chest_tightness']",child_adult,none,critical,90,True,medium
pneumothorax,"['sudden_chest_pain', 'difficulty_breathing', 'rapid_heartbeat']",teen_adult,male_higher,critical,85,True,medium
severe_trauma,"['severe_bleeding', 'unconsciousness', 'weak_pulse', 'pale_skin']",any,male_higher,critical,100,True,very_high
head_injury,"['head_trauma', 'vomiting', 'confusion', 'memory_loss']",any,male_higher,critical,95,True,high
febrile_seizure,"['high_fever', 'seizure', 'unconsciousness']",infant_child,none,critical,92,True,medium
severe_dehydration,"['vomiting', 'diarrhea', 'lethargy', 'dry_mouth']",infant_elderly,none,high,80,True,medium
