symptoms,disease,severity,risk_score
"chest_pain,difficulty_breathing,sweating,nausea",heart_attack,critical,95
"chest_pain,palpitations,shortness_of_breath",angina,high,80
"high_blood_pressure,headache,dizziness",hypertension,medium,60
"irregular_heartbeat,fatigue,weakness",arrhythmia,medium,65
"severe_difficulty_breathing,blue_lips,chest_tightness",asthma_attack,critical,90
"persistent_cough,fever,chest_pain",pneumonia,high,75
"chronic_cough,shortness_of_breath,wheezing",copd,medium,70
"runny_nose,sore_throat,mild_cough",common_cold,low,20
"sudden_weakness,speech_difficulty,facial_drooping",stroke,critical,98
"severe_headache,neck_stiffness,fever,vomiting",meningitis,critical,95
"severe_headache,nausea,light_sensitivity",migraine,medium,50
"seizure,confusion,loss_of_consciousness",epilepsy,high,85
"severe_abdominal_pain,vomiting,fever",appendicitis,critical,90
"bloody_stool,abdominal_cramps,diarrhea",inflammatory_bowel_disease,high,75
"nausea,vomiting,diarrhea,dehydration",gastroenteritis,medium,55
"heartburn,acid_reflux,chest_discomfort",gerd,low,30
"high_fever,body_ache,headache,fatigue",influenza,medium,60
"fever,cough,fatigue,loss_of_taste",covid19,medium,65
"fever,rash,joint_pain",dengue,high,80
"fever,chills,sweating,headache",malaria,high,85
"excessive_thirst,frequent_urination,fatigue",diabetes,medium,70
"weight_loss,rapid_heartbeat,sweating",hyperthyroidism,medium,60
"weight_gain,fatigue,cold_intolerance",hypothyroidism,low,40
"joint_pain,stiffness,swelling",arthritis,medium,45
"back_pain,muscle_spasms,limited_mobility",back_injury,medium,50
"bone_pain,fracture,swelling",bone_fracture,high,75
"skin_rash,itching,redness",eczema,low,25
"skin_lesions,itching,scaling",psoriasis,low,30
"skin_infection,pus,redness,warmth",cellulitis,medium,65
"persistent_sadness,fatigue,loss_of_interest",depression,medium,55
"excessive_worry,restlessness,panic_attacks",anxiety,medium,50
"high_fever,rash,sore_throat",scarlet_fever,high,80
"fever,cough,runny_nose,rash",measles,high,75
"fever,swollen_glands,difficulty_swallowing",tonsillitis,medium,55
"confusion,memory_loss,disorientation",dementia,medium,60
"falls,dizziness,weakness",frailty_syndrome,medium,65
"severe_bleeding,unconsciousness,weak_pulse",hemorrhagic_shock,critical,100
"severe_burns,pain,blistering",thermal_burns,critical,90
"head_injury,vomiting,confusion",traumatic_brain_injury,critical,95
"poisoning,nausea,vomiting,diarrhea",food_poisoning,medium,60
